"appearance_id","game_id","player_id","player_club_id","player_current_club_id","date","player_name","competition_id","yellow_cards","red_cards","goals","assists","minutes_played"
"2346120_45671",2346120,45671,524,36,"2013-11-30","Cenk Tosun","TR1",0,0,0,2,90
"3079454_257851",3079454,257851,1049,7160,"2018-11-10","Rúben Vezo","ES1",0,0,0,0,6
"2609389_283130",2609389,283130,1301,720,"2015-10-24","Moussa Marega","PO1",1,0,0,0,56
"3229211_317482",3229211,317482,1390,1390,"2019-09-25","Marko Rog","IT1",1,0,0,0,72
"3195263_229005",3195263,229005,583,23826,"2019-08-18","Abdou Diallo","FR1",0,0,0,0,90
"4171280_525704",4171280,525704,398,398,"2023-11-28","Nicolò Rovella","CL",1,0,0,0,79
"4094868_507341",4094868,507341,273,79,"2024-05-12","Fabian Rieder","FR1",0,0,0,0,23
"3637641_569598",3637641,569598,162,5,"2021-08-10","Youssouf Fofana","CLQ",0,0,0,0,90
"3838752_538971",3838752,538971,873,273,"2023-02-18","Naouirou Ahamada","GB1",0,0,0,0,10
"2599225_29056",2599225,29056,1083,2698,"2015-08-02","César Navas","RU1",1,0,0,0,90
"2242913_7568",2242913,7568,3368,3368,"2012-09-23","David Navarro","ES1",1,0,0,0,90
"3589330_203746",3589330,203746,162,826,"2022-01-09","Ruben Aguilar","FR1",0,0,0,0,59
"3528464_126716",3528464,126716,1050,1050,"2021-03-11","Paco Alcácer","EL",0,0,0,0,63
"3427182_48119",3427182,48119,6890,2293,"2021-05-08","Danijel Aleksic","TR1",1,0,0,0,69
"2486490_203460",2486490,203460,405,281,"2014-08-31","Jack Grealish","GB1",0,0,0,0,15
"3838681_171424",3838681,171424,281,281,"2023-04-15","Riyad Mahrez","GB1",0,0,0,0,90
"4361262_527425",4361262,527425,677,677,"2024-08-17","Luke Woolfenden","GB1",1,0,0,0,90
"2842032_19108",2842032,19108,2696,2696,"2017-04-02","Nadson","RU1",0,0,0,0,45
"2875191_23160",2875191,23160,1177,1177,"2017-11-18","Stephan Petersen","DK1",0,0,0,0,64
"4103473_603891",4103473,603891,749,749,"2023-08-19","Emmanuel Ekong","IT1",0,0,0,0,4
"2346132_52006",2346132,52006,2292,24245,"2013-12-06","Onur Ayik","TR1",0,0,0,0,18
"2495685_15049",2495685,15049,5818,5818,"2014-10-26","Thomas Hansen","DK1",1,0,0,0,90
"3070002_76386",3070002,76386,2293,2381,"2019-05-17","Mustapha Yatabaré","TR1",0,0,0,0,65
"3840048_448632",3840048,448632,1421,1421,"2022-10-02","Yehvann Diouf","FR1",0,0,0,0,90
"3219343_65477",3219343,65477,1010,1010,"2019-11-23","Troy Deeney","GB1",0,0,0,0,34
"3148603_237641",3148603,237641,3060,3060,"2019-02-03","Amr Warda","GR1",0,0,0,0,84
"2700734_58342",2700734,58342,499,499,"2016-11-19","Sheran Yeini","NL1",0,0,0,0,90
