"player_id","transfer_date","transfer_season","from_club_id","to_club_id","from_club_name","to_club_name","transfer_fee","market_value_in_eur","player_name"
415522,"2020-01-31","19/20",3935,828,"Oita Trinita","Urawa Reds",0,3e+05,"Ryotaro Ito"
39983,"2009-06-30","08/09",4172,46,"AC Pisa","Inter",0,4e+05,"Leonardo Bonucci"
38607,"2019-07-26","19/20",6574,2722,"Sassuolo","SPAL",0,4500000,"Federico Di Francesco"
918365,"2024-07-01","24/25",1426,306,"VVV-Venlo","Heerenveen",350000,750000,"Levi Smans"
566615,"2023-01-26","22/23",3522,607,"Spezia Calcio","Venezia",1500000,1e+06,"Mikael Egill Ellertsson"
993645,"2024-08-30","24/25",12179,46,"Ind. Rivadavia","Inter",6500000,5e+05,"Tomás Palacios"
126673,"2021-07-01","21/22",1082,1025,"LOSC Lille","Bologna",2100000,4e+06,"Adama Soumaoro"
426523,"2024-01-17","23/24",6912,2417,"Vizela","Belgrano",0,4e+05,"Joaquín Novillo"
85295,"2013-07-21","13/14",2464,8024,"Barcelona B","Arouca",0,8e+05,"Iván Balliu"
504503,"2021-06-30","20/21",1465,7179,"Estoril Praia","Tondela",0,150000,"João Mendes"
344565,"2024-06-30","23/24",2741,2698,"Baltika","Rubin Kazan",0,1e+06,"Vitaliy Lisakovich"
157543,"2017-01-01","16/17",6676,265,"Asteras Tripoli","Panathinaikos",5e+05,1e+06,"Dimitrios Kourbelis"
129103,"2013-07-01","13/14",2700,11127,"Anzhi","Ural",0,5e+05,"Serder Serderov"
166237,"2017-07-01","17/18",12,964,"AS Roma","Zenit S-Pb",2.3e+07,1.3e+07,"Leandro Paredes"
129103,"2021-08-09","21/22",24032,999,"Mezőkövesd","NK Istra",0,250000,"Serder Serderov"
381714,"2022-01-21","21/22",2696,232,"KS Samara","Spartak Moscow",1500000,1500000,"Danil Prutsev"
296802,"2022-07-01","22/23",417,383,"OGC Nice","PSV Eindhoven",0,1.4e+07,"Walter Benítez"
